"","IndividualId","Gender","RaceIndex","Population.Name","Time","Organism|PeripheralVenousBlood|smarties|Plasma (Peripheral Venous Blood)","Organism|LargeIntestine|Mucosa|Caecum|BloodCells|smarties|Concentration in container"
"1",0,"1","0","Kitchenarians",0,0,0
"2",0,"1","0","Kitchenarians",3,18.6758861541748,11.0394287109375
"3",0,"1","0","Kitchenarians",6,16.3430576324463,7.08527278900146
"4",0,"1","0","Kitchenarians",9,13.9189586639404,5.3897500038147
"5",0,"1","0","Kitchenarians",12,11.9160509109497,4.3859076499939
"6",0,"1","0","Kitchenarians",15,10.4673128128052,3.77460479736328
"7",0,"1","0","Kitchenarians",18,9.4683952331543,3.39171600341797
"8",0,"1","0","Kitchenarians",21,8.7881031036377,3.14519166946411
"9",0,"1","0","Kitchenarians",24,8.32082366943359,2.98151421546936
"10",0,"1","0","Kitchenarians",27,7.99235582351685,2.86879086494446
"11",0,"1","0","Kitchenarians",30,7.75334930419922,2.78782653808594
"12",0,"1","0","Kitchenarians",33,7.57213687896729,2.7269446849823
"13",0,"1","0","Kitchenarians",36,7.4286413192749,2.67899608612061
"14",0,"1","0","Kitchenarians",39,7.31026268005371,2.63958668708801
"15",0,"1","0","Kitchenarians",42,7.20904493331909,2.60596513748169
"16",0,"1","0","Kitchenarians",45,7.11996650695801,2.57642412185669
"17",0,"1","0","Kitchenarians",48,7.03986978530884,2.54989671707153
"18",0,"1","0","Kitchenarians",51,6.96670818328857,2.52568626403809
"19",0,"1","0","Kitchenarians",54,6.89912271499634,2.50333619117737
"20",0,"1","0","Kitchenarians",57,6.83620643615723,2.48254227638245
"21",0,"1","0","Kitchenarians",60,6.77732610702515,2.4630913734436
"22",0,"1","0","Kitchenarians",63,6.72200489044189,2.44482350349426
"23",0,"1","0","Kitchenarians",66,6.6698751449585,2.42761611938477
"24",0,"1","0","Kitchenarians",69,6.62065649032593,2.411376953125
"25",0,"1","0","Kitchenarians",72,6.57412481307983,2.39603209495544
"26",0,"1","0","Kitchenarians",75,6.53009128570557,2.38151812553406
"27",0,"1","0","Kitchenarians",78,6.48838663101196,2.36777949333191
"28",0,"1","0","Kitchenarians",81,6.44885158538818,2.35476303100586
