"QuantityPath","Parameter","PKParameter","Value"
"Organism|Lung|Interstitial|Raltegravir|Concentration","Heart-Volume","C_max",-0.00873995515291738
"Organism|Lung|Interstitial|Raltegravir|Concentration","Lung-Volume","C_max",-0.0360735696851089
"Organism|Lung|Interstitial|Raltegravir|Concentration","Kidney-Volume","C_max",-0.127601130791585
"Organism|Lung|Interstitial|Raltegravir|Concentration","Brain-Volume","C_max",-0.0029647767415462
"Organism|Lung|Interstitial|Raltegravir|Concentration","Muscle-Volume","C_max",-0.242817193862835
"Organism|Lung|Interstitial|Raltegravir|Concentration","LargeIntestine-Volume","C_max",-0.000481067149667058
"Organism|Lung|Interstitial|Raltegravir|Concentration","PortalVein-Volume","C_max",-0.0429947523330717
"Organism|Lung|Interstitial|Raltegravir|Concentration","Spleen-Volume","C_max",0.00145411858114499
"Organism|Lung|Interstitial|Raltegravir|Concentration","Skin-Volume","C_max",-0.0476455746846592
"Organism|Lung|Interstitial|Raltegravir|Concentration","Pancreas-Volume","C_max",-0.000868439253292972
"Organism|Lung|Interstitial|Raltegravir|Concentration","SmallIntestine-Mucosa-UpperIleum-Fraction mucosa","C_max",-0.0143606344342475
"Organism|Lung|Interstitial|Raltegravir|Concentration","SmallIntestine-Volume","C_max",-0.116804242174246
"Organism|Lung|Interstitial|Raltegravir|Concentration","Lumen-Effective surface area variability factor","C_max",0.238923080740256
"Organism|Lung|Interstitial|Raltegravir|Concentration","Bone-Volume","C_max",-0.0876254927441389
"Organism|Lung|Interstitial|Raltegravir|Concentration","Stomach-Volume","C_max",-0.000835439740221878
"Organism|Lung|Interstitial|Raltegravir|Concentration","Heart-Volume","t_max",0
"Organism|Lung|Interstitial|Raltegravir|Concentration","Lung-Volume","t_max",0
"Organism|Lung|Interstitial|Raltegravir|Concentration","Kidney-Volume","t_max",0
"Organism|Lung|Interstitial|Raltegravir|Concentration","Brain-Volume","t_max",0
"Organism|Lung|Interstitial|Raltegravir|Concentration","Muscle-Volume","t_max",0.192307692307692
"Organism|Lung|Interstitial|Raltegravir|Concentration","LargeIntestine-Volume","t_max",0
"Organism|Lung|Interstitial|Raltegravir|Concentration","PortalVein-Volume","t_max",0
"Organism|Lung|Interstitial|Raltegravir|Concentration","Spleen-Volume","t_max",0
"Organism|Lung|Interstitial|Raltegravir|Concentration","Skin-Volume","t_max",0
"Organism|Lung|Interstitial|Raltegravir|Concentration","Pancreas-Volume","t_max",0
"Organism|Lung|Interstitial|Raltegravir|Concentration","SmallIntestine-Mucosa-UpperIleum-Fraction mucosa","t_max",0
"Organism|Lung|Interstitial|Raltegravir|Concentration","SmallIntestine-Volume","t_max",0
"Organism|Lung|Interstitial|Raltegravir|Concentration","Lumen-Effective surface area variability factor","t_max",-0.615384615384615
"Organism|Lung|Interstitial|Raltegravir|Concentration","Bone-Volume","t_max",0
"Organism|Lung|Interstitial|Raltegravir|Concentration","Stomach-Volume","t_max",0
"Organism|Lung|Interstitial|Raltegravir|Concentration","Heart-Volume","C_tEnd",0.00157797450881588
"Organism|Lung|Interstitial|Raltegravir|Concentration","Lung-Volume","C_tEnd",0.00872010263543141
"Organism|Lung|Interstitial|Raltegravir|Concentration","Kidney-Volume","C_tEnd",-0.47889964613803
"Organism|Lung|Interstitial|Raltegravir|Concentration","Brain-Volume","C_tEnd",0.000591068771747151
"Organism|Lung|Interstitial|Raltegravir|Concentration","Muscle-Volume","C_tEnd",0.155489831668893
"Organism|Lung|Interstitial|Raltegravir|Concentration","LargeIntestine-Volume","C_tEnd",-0.0818496543520321
"Organism|Lung|Interstitial|Raltegravir|Concentration","PortalVein-Volume","C_tEnd",0.0089644801919374
"Organism|Lung|Interstitial|Raltegravir|Concentration","Spleen-Volume","C_tEnd",0.00266791663623862
"Organism|Lung|Interstitial|Raltegravir|Concentration","Skin-Volume","C_tEnd",0.00859486581513379
"Organism|Lung|Interstitial|Raltegravir|Concentration","Pancreas-Volume","C_tEnd",0.00129928291197242
"Organism|Lung|Interstitial|Raltegravir|Concentration","SmallIntestine-Mucosa-UpperIleum-Fraction mucosa","C_tEnd",-0.000166102579875356
"Organism|Lung|Interstitial|Raltegravir|Concentration","SmallIntestine-Volume","C_tEnd",-0.0994726007415603
"Organism|Lung|Interstitial|Raltegravir|Concentration","Lumen-Effective surface area variability factor","C_tEnd",-0.158727009435858
"Organism|Lung|Interstitial|Raltegravir|Concentration","Bone-Volume","C_tEnd",0.0305277907904383
"Organism|Lung|Interstitial|Raltegravir|Concentration","Stomach-Volume","C_tEnd",-0.00027664909444242
"Organism|Lung|Interstitial|Raltegravir|Concentration","Heart-Volume","AUC_tEnd",0
"Organism|Lung|Interstitial|Raltegravir|Concentration","Lung-Volume","AUC_tEnd",-0.000530377994799884
"Organism|Lung|Interstitial|Raltegravir|Concentration","Kidney-Volume","AUC_tEnd",-0.386166653940758
"Organism|Lung|Interstitial|Raltegravir|Concentration","Brain-Volume","AUC_tEnd",0
"Organism|Lung|Interstitial|Raltegravir|Concentration","Muscle-Volume","AUC_tEnd",-0.0065503213328749
"Organism|Lung|Interstitial|Raltegravir|Concentration","LargeIntestine-Volume","AUC_tEnd",-0.00991051295416598
"Organism|Lung|Interstitial|Raltegravir|Concentration","PortalVein-Volume","AUC_tEnd",0.000116822739271728
"Organism|Lung|Interstitial|Raltegravir|Concentration","Spleen-Volume","AUC_tEnd",0.00299521366065253
"Organism|Lung|Interstitial|Raltegravir|Concentration","Skin-Volume","AUC_tEnd",-0.00108481016401416
"Organism|Lung|Interstitial|Raltegravir|Concentration","Pancreas-Volume","AUC_tEnd",0.00116759293628204
"Organism|Lung|Interstitial|Raltegravir|Concentration","SmallIntestine-Mucosa-UpperIleum-Fraction mucosa","AUC_tEnd",-0.0137394851259137
"Organism|Lung|Interstitial|Raltegravir|Concentration","SmallIntestine-Volume","AUC_tEnd",-0.170202455600187
"Organism|Lung|Interstitial|Raltegravir|Concentration","Lumen-Effective surface area variability factor","AUC_tEnd",0.101839554022365
"Organism|Lung|Interstitial|Raltegravir|Concentration","Bone-Volume","AUC_tEnd",-0.00187029481590612
"Organism|Lung|Interstitial|Raltegravir|Concentration","Stomach-Volume","AUC_tEnd",0
"Organism|Lung|Interstitial|Raltegravir|Concentration","Heart-Volume","AUC_inf",0
"Organism|Lung|Interstitial|Raltegravir|Concentration","Lung-Volume","AUC_inf",-0.00036368905594273
"Organism|Lung|Interstitial|Raltegravir|Concentration","Kidney-Volume","AUC_inf",-0.387498604963007
"Organism|Lung|Interstitial|Raltegravir|Concentration","Brain-Volume","AUC_inf",0
"Organism|Lung|Interstitial|Raltegravir|Concentration","Muscle-Volume","AUC_inf",-0.00552336705493343
"Organism|Lung|Interstitial|Raltegravir|Concentration","LargeIntestine-Volume","AUC_inf",-0.0133118294689838
"Organism|Lung|Interstitial|Raltegravir|Concentration","PortalVein-Volume","AUC_inf",0.000336450098335548
"Organism|Lung|Interstitial|Raltegravir|Concentration","Spleen-Volume","AUC_inf",0.00299554414066462
"Organism|Lung|Interstitial|Raltegravir|Concentration","Skin-Volume","AUC_inf",-0.000825718954947346
"Organism|Lung|Interstitial|Raltegravir|Concentration","Pancreas-Volume","AUC_inf",0.00117254579903801
"Organism|Lung|Interstitial|Raltegravir|Concentration","SmallIntestine-Mucosa-UpperIleum-Fraction mucosa","AUC_inf",-0.0130992120661647
"Organism|Lung|Interstitial|Raltegravir|Concentration","SmallIntestine-Volume","AUC_inf",-0.166192848219763
"Organism|Lung|Interstitial|Raltegravir|Concentration","Lumen-Effective surface area variability factor","AUC_inf",0.0913648374863964
"Organism|Lung|Interstitial|Raltegravir|Concentration","Bone-Volume","AUC_inf",-0.00122763255392678
"Organism|Lung|Interstitial|Raltegravir|Concentration","Stomach-Volume","AUC_inf",0
"Organism|Lung|Interstitial|Raltegravir|Concentration","Heart-Volume","MRT",0.00292635475591041
"Organism|Lung|Interstitial|Raltegravir|Concentration","Lung-Volume","MRT",0.0135002615928425
"Organism|Lung|Interstitial|Raltegravir|Concentration","Kidney-Volume","MRT",-0.117388344770362
"Organism|Lung|Interstitial|Raltegravir|Concentration","Brain-Volume","MRT",0.00124334723163376
"Organism|Lung|Interstitial|Raltegravir|Concentration","Muscle-Volume","MRT",0.128743243155923
"Organism|Lung|Interstitial|Raltegravir|Concentration","LargeIntestine-Volume","MRT",-0.0406816593598279
"Organism|Lung|Interstitial|Raltegravir|Concentration","PortalVein-Volume","MRT",0.016403815028914
"Organism|Lung|Interstitial|Raltegravir|Concentration","Spleen-Volume","MRT",-0.000177988003063057
"Organism|Lung|Interstitial|Raltegravir|Concentration","Skin-Volume","MRT",0.0162886167231076
"Organism|Lung|Interstitial|Raltegravir|Concentration","Pancreas-Volume","MRT",0.000395911418805638
"Organism|Lung|Interstitial|Raltegravir|Concentration","SmallIntestine-Mucosa-UpperIleum-Fraction mucosa","MRT",0.00640928946426485
"Organism|Lung|Interstitial|Raltegravir|Concentration","SmallIntestine-Volume","MRT",0.0220729222754117
"Organism|Lung|Interstitial|Raltegravir|Concentration","Lumen-Effective surface area variability factor","MRT",-0.168863184983692
"Organism|Lung|Interstitial|Raltegravir|Concentration","Bone-Volume","MRT",0.0513670040061468
"Organism|Lung|Interstitial|Raltegravir|Concentration","Stomach-Volume","MRT",-0.000100209284866925
"Organism|Lung|Interstitial|Raltegravir|Concentration","Heart-Volume","Thalf",-0.000727779227424266
"Organism|Lung|Interstitial|Raltegravir|Concentration","Lung-Volume","Thalf",-0.00512002119785603
"Organism|Lung|Interstitial|Raltegravir|Concentration","Kidney-Volume","Thalf",0.0596634873994198
"Organism|Lung|Interstitial|Raltegravir|Concentration","Brain-Volume","Thalf",-0.000459049530028595
"Organism|Lung|Interstitial|Raltegravir|Concentration","Muscle-Volume","Thalf",-0.136520489223732
"Organism|Lung|Interstitial|Raltegravir|Concentration","LargeIntestine-Volume","Thalf",-0.0123080780494653
"Organism|Lung|Interstitial|Raltegravir|Concentration","PortalVein-Volume","Thalf",-0.00341546867120817
"Organism|Lung|Interstitial|Raltegravir|Concentration","Spleen-Volume","Thalf",0.000335253333106074
"Organism|Lung|Interstitial|Raltegravir|Concentration","Skin-Volume","Thalf",-0.00326327447893182
"Organism|Lung|Interstitial|Raltegravir|Concentration","Pancreas-Volume","Thalf",0
"Organism|Lung|Interstitial|Raltegravir|Concentration","SmallIntestine-Mucosa-UpperIleum-Fraction mucosa","Thalf",0.00228767858918983
"Organism|Lung|Interstitial|Raltegravir|Concentration","SmallIntestine-Volume","Thalf",0.0285740741384474
"Organism|Lung|Interstitial|Raltegravir|Concentration","Lumen-Effective surface area variability factor","Thalf",0.00107895562209103
"Organism|Lung|Interstitial|Raltegravir|Concentration","Bone-Volume","Thalf",-0.0164870126688139
"Organism|Lung|Interstitial|Raltegravir|Concentration","Stomach-Volume","Thalf",0.000236210768856241
"Organism|Lung|Interstitial|Raltegravir|Concentration","Heart-Volume","FractionAucLastToInf",0.000905305856273376
"Organism|Lung|Interstitial|Raltegravir|Concentration","Lung-Volume","FractionAucLastToInf",0.00396352720890661
"Organism|Lung|Interstitial|Raltegravir|Concentration","Kidney-Volume","FractionAucLastToInf",-0.0316259171388644
"Organism|Lung|Interstitial|Raltegravir|Concentration","Brain-Volume","FractionAucLastToInf",0.000204021359017988
"Organism|Lung|Interstitial|Raltegravir|Concentration","Muscle-Volume","FractionAucLastToInf",0.0244123031545646
"Organism|Lung|Interstitial|Raltegravir|Concentration","LargeIntestine-Volume","FractionAucLastToInf",-0.0808451185173798
"Organism|Lung|Interstitial|Raltegravir|Concentration","PortalVein-Volume","FractionAucLastToInf",0.00521282068836091
"Organism|Lung|Interstitial|Raltegravir|Concentration","Spleen-Volume","FractionAucLastToInf",0
"Organism|Lung|Interstitial|Raltegravir|Concentration","Skin-Volume","FractionAucLastToInf",0.00615770830292427
"Organism|Lung|Interstitial|Raltegravir|Concentration","Pancreas-Volume","FractionAucLastToInf",0.000126541681805843
